School,Building,Address,City,Turf Code,Assigned Precinct,Polygon Precinct,Finding,Note
Albion,Greek Life,N/a,Albion,01-3001,0250098000006,,outside every student precinct,
CMU,Tallgrass Apartments,1240 E Broomfield Street,Mount Pleasant,05-4119,0735602000002,0735602000003,polygon disagrees,
EMU,A Y Management,913 Washtenaw Road,Ypsilanti,02-3112,1618914003001,1618914002001,polygon disagrees,
EMU,Greek Life,N/a,Ypsilanti,02-3101,1618914003001,1618914002004,polygon disagrees,
EMU,Lakeview Apartments,1000 Mayhew Street,Ypsilanti,02-3007,1618914002001,1618914002004,polygon disagrees,
FSU,Between River St and Interstate,N/a,Big Rapids,MiniVAN,1070830000002,,outside every student precinct,
FSU,Elm St,N/a,Big Rapids,MiniVAN,1070830000002,,outside every student precinct,
FSU,Tech Center - USP,N/a,Big Rapids,MiniVAN,1070830000002,,outside every student precinct,
Hope,Blue Appartment,293 1/2 Lincoln Avenue,Holland,03-0027,0053864005009,1393864002003,polygon disagrees,
KC,DeWaters Hall,1231 W Lovell Street,Kalamazoo,03-2002,0774216000003,0774216000002,polygon disagrees,
KC,Hoben Hall,N/a,Kalamazoo,03-2004,0774216000002,,outside every student precinct,
Kettering,Greek Life,N/a,Flint,05-9101,0492900006016,,outside every student precinct,
Lawrence Tech,Evergreen Place Apartments,2400 Evergreen Rd. Southfield,Southfield,04-3102,1257490000008,1257490000011,polygon disagrees,
Lawrence Tech,Greek Life,N/a,Southfield,04-3101,1257490000015,,outside every student precinct,
MSU,2926-19 Mount Hope Rd.,2926-19 Mount Hope Road,East Lansing,01-1132,0652412000009,0652412000010,polygon disagrees,
MSU,McDonel Hall,817 E Shaw Lane,East Lansing,01-1019,0652412000012,0652412000011,polygon disagrees,
MSU,Owen Hall,735 E Shaw Lane,East Lansing,01-1020,0652412000012,0652412000011,polygon disagrees,
MSU,The Beaumont,3500 Beaumont Drive,DeWitt,01-1160,0372412000008,0372214000006,polygon disagrees,approx geocode
Michigan Tech,Greek Life,N/a,Adams,06-2101,0613936000002,,outside every student precinct,
NMU,Greek Life,N/a,Marquette,06-1101,1035190000004,,outside every student precinct,approx geocode
NMU,Spalding/Spooner Hall,1000 Center Street,Marquette,06-1002,1035190000001,,outside every student precinct,
NMU,VanAntwerp Hall,25 Center Street,Marquette,06-1001,1035190000001,,outside every student precinct,
Northwood,Naegele Village Apartments,1100 Quarry Avenue,Midland,05-3003,1115378004007,,outside every student precinct,approx geocode
Northwood,North Village Apartments,1100 Quarry Avenue,Midland,05-3004,1115378004007,,outside every student precinct,approx geocode
OU,Rochester Square Apartments,676 Main St,Royal Oak,04-1109,1257004000001,,outside every student precinct,
UofM AA,Baits II,1440 Hubbard,Ann Arbor,02-1007,1610300002013,1610300001007,polygon disagrees,
UofM AA,Campus Edge Ann Arbor,603 E Huron Street,Ann Arbor,02-1114,1610300005042,1610300001002,polygon disagrees,
UofM AA,Foundry Lofts,413 E Huron Street,Ann Arbor,02-1132,1610300005042,1610300001002,polygon disagrees,
UofM AA,Greek Life,N/a,Ann Arbor,02-1101,1610300001001,1610300001002,polygon disagrees,
UofM Flint,Greek Life,N/a,Flint,05-7101,0492900005015,,outside every student precinct,
WMU,Garneau/Harvey (Valley 2),N/a,Kalamazoo,03-1003,0774216000002,,outside every student precinct,
WMU,Greek Life,N/a,Kalamazoo,03-1101,0774216000002,,outside every student precinct,
WMU,Kalamazoo City Wards 4 and 5,N/a,Kalamazoo,MiniVAN,0774216000002,,outside every student precinct,
WMU,Kendall Manor Apartments,125 S Kendall Avenue,Westwood,03-1117,0774216000005,0774218000003,polygon disagrees,
WMU,Kendall Off Main,222 S Kendall Avenue,Westwood,03-1115,0774216000005,0774218000003,polygon disagrees,
WMU,Kendall Ridge South,105 S Kendall Avenue,Westwood,03-1116,0774216000005,0774218000003,polygon disagrees,
WMU,Kendall Village Townhomes,307 S Kendall Avenue,Westwood,03-1114,0774216000005,0774218000003,polygon disagrees,
WMU,North Campus Village,142 S Kendall Avenue,Westwood,03-1110,0774216000005,0774218000003,polygon disagrees,
WMU,Stadium Drive Apartments,1940 Howard Street,Kalamazoo,03-1121,0774216000004,0774216000002,polygon disagrees,
WMU,The Tate on Howard,700 S Howard Street,Kalamazoo,03-1111,0774216000002,0774216000005,polygon disagrees,
WMU,Whitehall Apartments,332 S Kendall Avenue,Kalamazoo,03-1103,0774216000005,0774218000003,polygon disagrees,
WSU,Chatsworth Suites,630 Merrick St.,Detroit,04-7003,1632200005441,,outside every student precinct,
WSU,Greek Life,N/a,Detroit,04-7101,1632200005147,,outside every student precinct,
WSU,Sheridan Court,4417 Second Ave.,Detroit,04-7126,1632200006150,1632200006500,polygon disagrees,
WSU,The Millie on Brush,555 Brush St.,Detroit,04-7119,1632200006144,,outside every student precinct,
WSU,The Residences Water Square,222 Third St.,Detroit,04-7121,1632200006500,1632200006144,polygon disagrees,
WSU,The Strathmore Apartments,70 W Alexandrine,Detroit,04-7129,1632200006466,1632200006150,polygon disagrees,
WSU,Towers Residential Suites,655 W Kirby St.,Detroit,04-7005,1632200005147,1632200005136,polygon disagrees,
WSU,eXchange Apartments,310 Gratiot Ave.,Detroit,04-7115,1632200006157,,outside every student precinct,
