school,building,turf_code,turf_address,turf_city,turf_precinct,correct_address,correct_city,correct_precinct,correct_lat,correct_lng,why,evidence
MSU,Landmark on Grand River Apartments,01-1206,205 E Grand River,Williamstown,"Williamstown Township, Precinct 1",205 E Grand River Ave,East Lansing,"City of East Lansing, Precinct 6",42.734988,-84.482593,"the turf address has no city, and the geocoder chose E Grand River Ave in Williamston, 15 miles east; this is the student high rise across from campus","US Census geocoder point match; state 2026 precinct layer; crosswalk sheet EV tab names City of East Lansing, Precinct 6"
OU,Great Oaks Apartments,04-1107,940 Oakwood Road,Ortonville,"Charter Township of Brandon, Precinct 6",940 Oakwood Dr,Rochester,"City of Rochester, Precinct 1",42.683651,-83.146432,"the turf address has no city, and the geocoder chose Oakwood Road in Ortonville, 22 miles away (crosswalk flag on turf 04-1107); the complex is Great Oaks Apartments, 940 Oakwood Dr, Rochester","Esri and US Census rooftop match; state 2026 precinct layer; crosswalk sheet EV tab names City of Rochester, Precinct 1"
Davenport,Meadowbrooke Apartment Homes,03-6101,5012 Verdre Parkway,Grand Rapids,"Grand Rapids Charter Township, Precinct 1",5012 Verdure Pkwy SE,Grand Rapids,"Cascade Charter Township, Precinct 5",42.858649,-85.541985,"the street was misspelled in the turf record, so the geocode fell 9 miles north in Grand Rapids Charter Township; the complex is in Cascade Charter Township","Esri rooftop match on the corrected spelling; state 2026 precinct layer puts it in Cascade Charter Township, Precinct 5 (the sheet's Cascade row says Precinct 4, 2.2 miles off; the layer wins)"
Aquinas,Woodcock Hall,03-9004,Woodcock Hall Grand Rapids,Grand Rapids,"City of East Grand Rapids, Ward 1, Precinct 1",1700 Fulton St E,Grand Rapids,"City of Grand Rapids, Ward 2, Precinct 21",42.96065,-85.6253,"no street address on the turf record, and the fallback pin landed a mile east of campus inside East Grand Rapids; pinned to the Aquinas College campus, 1700 Fulton St E","state 2026 precinct layer at the campus address; crosswalk sheet EV tab names City of Grand Rapids, Ward 2, Precinct 21; the four Aquinas halls with real addresses already sit in that precinct"
Aquinas,Knap Hall,03-9005,Knap Hall Grand Rapids,Grand Rapids,"City of East Grand Rapids, Ward 1, Precinct 1",1700 Fulton St E,Grand Rapids,"City of Grand Rapids, Ward 2, Precinct 21",42.96065,-85.6253,same as Woodcock Hall,same as Woodcock Hall
Aquinas,Sister Mildred Hawkins Hall,03-9007,N/a,East Grand Rapids,"City of East Grand Rapids, Ward 1, Precinct 1",1700 Fulton St E,Grand Rapids,"City of Grand Rapids, Ward 2, Precinct 21",42.96065,-85.6253,same as Woodcock Hall,same as Woodcock Hall
Aquinas,Ruth Rasmus Eberhard Hall,03-9008,N/a,East Grand Rapids,"City of East Grand Rapids, Ward 1, Precinct 1",1700 Fulton St E,Grand Rapids,"City of Grand Rapids, Ward 2, Precinct 21",42.96065,-85.6253,same as Woodcock Hall,same as Woodcock Hall
Aquinas,St. Catherine of Siena Hall,03-9009,N/a,East Grand Rapids,"City of East Grand Rapids, Ward 1, Precinct 1",1700 Fulton St E,Grand Rapids,"City of Grand Rapids, Ward 2, Precinct 21",42.96065,-85.6253,same as Woodcock Hall,same as Woodcock Hall
Aquinas,St. Martin de Porres Hall,03-9010,N/a,East Grand Rapids,"City of East Grand Rapids, Ward 1, Precinct 1",1700 Fulton St E,Grand Rapids,"City of Grand Rapids, Ward 2, Precinct 21",42.96065,-85.6253,same as Woodcock Hall,same as Woodcock Hall
Aquinas,St. Rose of Lima Hall,03-9011,N/a,East Grand Rapids,"City of East Grand Rapids, Ward 1, Precinct 1",1700 Fulton St E,Grand Rapids,"City of Grand Rapids, Ward 2, Precinct 21",42.96065,-85.6253,same as Woodcock Hall,same as Woodcock Hall
